Customer Name,Review Title,Rating,Comment,Combined_Text,Sentiment_Score_Text,Rating_Numeric,Rating_Normalized,Sentiment_Score,Sentiment
Khushi Singh,Value-for-money,4,I'm in love with thi product thnks filpkart for thi worth:red_heart::smiling_face_with_smiling_eyes:,value for money i m in love with thi product thnks filpkart for thi worth:red_heart::smiling_face_with_smiling_eyes:,0.765,4.0,0.5,0.6855,Positive
Rakesh  Karmakar,Pretty good,4,Good looking,pretty good good looking,0.8402,4.0,0.5,0.7381399999999999,Positive
Hlo,Fabulous!,5,Wow Nyc product Noise One of the best product battery backup Superb and looks Amazing Wonderful :thumbs_up: Flipkart,fabulous  wow nyc product noise one of the best product battery backup superb and looks amazing wonderful :thumbs_up: flipkart,0.975,5.0,1.0,0.9824999999999999,Positive
Sarvesh Seth,Nice product,4,"➊-This is only watch in this price segment with highest brightness & longer display also.➋-Music feature is working so great.➌-One feature which is very helpful in this season is that WEATHER FEATURE.➍-60 sports mode is also given in this watch which is also very useful.➎-Display is TOO great, i loved it very much :heart_exclamation:.➏-Only thing in this is negative point - the battery backup :slightly_frowning_face: which only run 36-48 hours with Bluetooth calling.➐-I also want to add an other point which is its watch faces [100+].But if you want to order this you can......",nice product ➊ this is only watch in this price segment with highest brightness   longer display also ➋ music feature is working so great ➌ one feature which is very helpful in this season is that weather feature ➍ 60 sports mode is also given in this watch which is also very useful ➎ display is too great  i loved it very much :heart_exclamation: ➏ only thing in this is negative point   the battery backup :slightly_frowning_face: which only run 36 48 hours with bluetooth calling ➐ i also want to add an other point which is its watch faces  100   but if you want to order this you can      ,0.915,4.0,0.5,0.7905,Positive
Sourav Mitra,Delightful,4,Nice n Stylish..Display --9Battery -- 8UI-- 9Connectivity -- 9Overall Very Good smart watch.I must Say This is value for money product.,delightful nice n stylish  display   9battery    8ui   9connectivity    9overall very good smart watch i must say this is value for money product ,0.9345,4.0,0.5,0.80415,Positive
Roshni  Sharma,Brilliant,5,Loved :smiling_face_with_heart-eyes:,brilliant loved :smiling_face_with_heart eyes:,0.8271,5.0,1.0,0.8789699999999998,Positive
Akash Arya,Good quality product,4,VERY NICE :thumbs_up: WATCH I'M IMPRESSED :smiling_face_with_smiling_eyes: GOOD SERVICE FLIPKART THANK YOU :red_heart:,good quality product very nice :thumbs_up: watch i m impressed :smiling_face_with_smiling_eyes: good service flipkart thank you :red_heart:,0.9259,4.0,0.5,0.7981299999999999,Positive
Flipkart Customer,Classy product,5,Its Nice one,classy product its nice one,0.6908,5.0,1.0,0.7835599999999999,Positive
Raghuvendra  Singh,Excellent,5,Superb Watch Under This price Range.......Value for Money..... having nice or bright Display in outdoors..... Like this Product,excellent superb watch under this price range       value for money      having nice or bright display in outdoors      like this product,0.9545,5.0,1.0,0.9681500000000001,Positive
Boya Narasimha,Simply awesome,5,Nice one and good one.... Worth it it's looks nice compare to others,simply awesome nice one and good one     worth it it s looks nice compare to others,0.926,5.0,1.0,0.9481999999999999,Positive
Leon Moncy,Excellent,5,"Pros: 1.features are awesome.2.game is smooth and is interesting3. I checked calling function and is clear      and loud same as that of speaker of mobiles.4.connectivity is fast.5. I got every notification fastly. I wonderedHow some notification came on watch before it displayed on mobile :grinning_face::astonished_face:6.there are no laggy experience.7.UI is pretty attractive.8. Overall I like it.Cons:1. Due to its premium design, my brother and sister are wearing it almost all time so that iGet it very often.2. Should give an update for Voice Ai assistant. Because sometimes the mobile speaker act as output and watch mic as input and sometimes vice versa. A software update can solve this.",excellent pros: 1 features are awesome 2 game is smooth and is interesting3  i checked calling function and is clear      and loud same as that of speaker of mobiles 4 connectivity is fast 5  i got every notification fastly  i wonderedhow some notification came on watch before it displayed on mobile :grinning_face::astonished_face:6 there are no laggy experience 7 ui is pretty attractive 8  overall i like it cons:1  due to its premium design  my brother and sister are wearing it almost all time so that iget it very often 2  should give an update for voice ai assistant  because sometimes the mobile speaker act as output and watch mic as input and sometimes vice versa  a software update can solve this ,0.9559,5.0,1.0,0.9691299999999998,Positive
SHRUTI SANCHAYA DASH,Just wow!,5,Amazing:thumbs_up::smiling_face_with_heart-eyes::star-struck: I love it....,just wow  amazing:thumbs_up::smiling_face_with_heart eyes::star struck: i love it    ,0.7906,5.0,1.0,0.8534199999999998,Positive
Tanushree Paul,Terrific purchase,5,Amazing product,terrific purchase amazing product,0.7845,5.0,1.0,0.8491499999999998,Positive
Gopal Nandi,Nice product,4,Nice :thumbs_up:,nice product nice :thumbs_up:,0.6808,4.0,0.5,0.6265599999999999,Positive
B.Shiva Jr. NTR fan,Super!,5,Super :OK_hand::kissing_face_with_closed_eyes: Good :OK_hand::smiling_face_with_smiling_eyes:,super  super :ok_hand::kissing_face_with_closed_eyes: good :ok_hand::smiling_face_with_smiling_eyes:,0.8934,5.0,1.0,0.9253799999999999,Positive
priti rao,Very Good,4,Watch is very nice and display size is large 1.8 :thumbs_up:,very good watch is very nice and display size is large 1 8 :thumbs_up:,0.742,4.0,0.5,0.6694,Positive
Toslima  Sultana Laskar,Highly recommended,5,Nice product.... Love it :red_heart:,highly recommended nice product     love it :red_heart:,0.8545,5.0,1.0,0.89815,Positive
Sahida Khan,Worth every penny,5,Amazing product I am so happy guys go for it,worth every penny amazing product i am so happy guys go for it,0.887,5.0,1.0,0.9209,Positive
JOGA NARESH,Mind-blowing purchase,5,Awesome...,mind blowing purchase awesome   ,0.6249,5.0,1.0,0.73743,Positive
Flipkart Customer,Super!,5,Nice watch i think you also try,super  nice watch i think you also try,0.7717,5.0,1.0,0.84019,Positive
